Marca temporal,Semestre,A qué ingeniería perteneces,"Las siguientes preguntas son con única opción de respuesta:
1. Edad",2. Género,3. Utiliza los laboratorios de la Universidad,4.  ¿Con qué frecuencia utiliza los laboratorios de la universidad por semestre?,5. ¿Cuáles son las actividades que se realizan con mayor frecuencia en los laboratorios? (Selecciona dos o más):,6. ¿Ha presentado dificultades para acceder a una sala de laboratorio debido a la capacidad máxima? ,7. ¿Ha presentado dificultades para acceder a una sala de laboratorio debido a la falta de disponibilidad?,"8. ¿Cuándo realiza prácticas de laboratorio, tiene acceso a una visualización gráfica que le muestra la disponibilidad de las salas de laboratorio para agendarlas?",9. ¿Considera que sería beneficioso contar con un sistema web que permita reservar salas de laboratorio en tiempo real para mejorar la experiencia como estudiante?,Genero,UsaLab,Frecuencia,DificultadCapacidad,DificultadDisponibilidad,VisualizacionGrafica,SistemaReservaBeneficioso
2024/05/22 8:54:18 p. m. GMT-5,9.0,ingeniería mecatronica,21.0,Maculino,Si,3 - 5 veces,Pruebas de software/simulaciones;Trabajo en proyectos grupales,No,No,Si,Muy de acuerdo,1,1,1,0,0,1,1
2024/05/22 9:04:03 p. m. GMT-5,8.0,ingeniería de sistemas,19.0,Maculino,Si,1 - 2 veces,Experimentos prácticos,No,No,No,Muy de acuerdo,1,1,0,0,0,0,1
2024/05/22 9:04:29 p. m. GMT-5,7.0,ingeniería de sistemas,21.0,Maculino,No,Nunca,Recibir clases,No,No,No,Neutral,1,0,4,0,0,0,3
2024/05/22 9:04:56 p. m. GMT-5,7.0,ingeniería de sistemas,20.0,Maculino,Si,1 - 2 veces,,No,No,No,Muy de acuerdo,1,1,0,0,0,0,1
2024/05/22 9:08:36 p. m. GMT-5,3.0,ingeniería ambiental,19.0,Femenino,Si,3 - 5 veces,Experimentos prácticos;Trabajo en proyectos grupales,Si,Si,No,Muy de acuerdo,0,1,1,1,1,0,1
2024/05/22 9:21:00 p. m. GMT-5,2.0,ingeniería ambiental,21.0,Maculino,Si,3 - 5 veces,Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales;Investigación académica,Si,Si,No,Muy de acuerdo,1,1,1,1,1,0,1
2024/05/22 10:58:37 p. m. GMT-5,4.0,ingeniería mecatronica,20.0,Femenino,Si,3 - 5 veces,Experimentos prácticos,No,Si,No,Muy de acuerdo,0,1,1,0,1,0,1
2024/05/23 6:09:18 a. m. GMT-5,2.0,ingeniería de energía renovables,18.0,Maculino,Si,3 - 5 veces,Experimentos prácticos,No,No,Si,Muy de acuerdo,1,1,1,0,0,1,1
2024/05/23 8:13:39 a. m. GMT-5,3.0,ingeniería de sistemas,18.0,Maculino,Si,1 - 2 veces,Pruebas de software/simulaciones,Si,No,Si,Neutral,1,1,0,1,0,1,3
2024/05/23 8:14:14 a. m. GMT-5,3.0,ingeniería de sistemas,17.0,Maculino,Si,Más de 10 veces,Pruebas de software/simulaciones;Trabajo en proyectos grupales,Si,Si,Si,Muy de acuerdo,1,1,3,1,1,1,1
2024/05/23 8:14:55 a. m. GMT-5,3.0,ingeniería de sistemas,18.0,Maculino,Si,3 - 5 veces,Pruebas de software/simulaciones;Trabajo en proyectos grupales;Investigación académica,Si,Si,Si,Neutral,1,1,1,1,1,1,3
2024/05/23 8:14:55 a. m. GMT-5,3.0,ingeniería de sistemas,18.0,Maculino,No,1 - 2 veces,Trabajo en proyectos grupales,No,No,No,Neutral,1,0,0,0,0,0,3
2024/05/23 8:14:58 a. m. GMT-5,3.0,ingeniería de sistemas,19.0,Femenino,Si,3 - 5 veces,Pruebas de software/simulaciones,No,Si,No,Muy de acuerdo,0,1,1,0,1,0,1
2024/05/23 8:15:33 a. m. GMT-5,3.0,ingeniería de sistemas,19.0,Femenino,No,Nunca,Investigación académica,No,No,Si,Muy de acuerdo,0,0,4,0,0,1,1
2024/05/23 8:15:50 a. m. GMT-5,3.0,ingeniería de sistemas,18.0,Maculino,Si,1 - 2 veces,Experimentos prácticos,No,No,No,Muy de acuerdo,1,1,0,0,0,0,1
2024/05/23 8:15:59 a. m. GMT-5,3.0,ingeniería de sistemas,19.0,Maculino,Si,3 - 5 veces,Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales,No,No,No,Muy de acuerdo,1,1,1,0,0,0,1
