"Marca temporal","Semestre","A qué ingeniería perteneces","Las siguientes preguntas son con única opción de respuesta:
1. Edad","2. Género","3. Utiliza los laboratorios de la Universidad","4.  ¿Con qué frecuencia utiliza los laboratorios de la universidad por semestre?","5. ¿Cuáles son las actividades que se realizan con mayor frecuencia en los laboratorios? (Selecciona dos o más):","6. ¿Ha presentado dificultades para acceder a una sala de laboratorio debido a la capacidad máxima? ","7. ¿Ha presentado dificultades para acceder a una sala de laboratorio debido a la falta de disponibilidad?","8. ¿Cuándo realiza prácticas de laboratorio, tiene acceso a una visualización gráfica que le muestra la disponibilidad de las salas de laboratorio para agendarlas?","9. ¿Considera que sería beneficioso contar con un sistema web que permita reservar salas de laboratorio en tiempo real para mejorar la experiencia como estudiante?"
"2024/05/22 10:58:37 p. m. GMT-5","4","ingeniería mecatronica","20","Femenino","Si","3 - 5 veces","Experimentos prácticos","No","Si","No","Muy de acuerdo"
"2024/05/23 6:09:18 a. m. GMT-5","2","ingeniería de energía renovables","18","Maculino","Si","3 - 5 veces","Experimentos prácticos","No","No","Si","Muy de acuerdo"
"2024/05/23 8:13:39 a. m. GMT-5","3","ingeniería de sistemas","18","Maculino","Si","1 - 2 veces","Pruebas de software/simulaciones","Si","No","Si","Neutral"
"2024/05/23 8:14:14 a. m. GMT-5","3","ingeniería de sistemas","17","Maculino","Si","Más de 10 veces","Pruebas de software/simulaciones;Trabajo en proyectos grupales","Si","Si","Si","Muy de acuerdo"
"2024/05/23 8:14:55 a. m. GMT-5","3","ingeniería de sistemas","18","Maculino","Si","3 - 5 veces","Pruebas de software/simulaciones;Trabajo en proyectos grupales;Investigación académica","Si","Si","Si","Neutral"
"2024/05/23 8:14:55 a. m. GMT-5","3","ingeniería de sistemas","18","Maculino","No","1 - 2 veces","Trabajo en proyectos grupales","No","No","No","Neutral"
"2024/05/23 8:14:58 a. m. GMT-5","3","ingeniería de sistemas","19","Femenino","Si","3 - 5 veces","Pruebas de software/simulaciones","No","Si","No","Muy de acuerdo"
"2024/05/23 8:15:33 a. m. GMT-5","3","ingeniería de sistemas","19","Femenino","No","Nunca","Investigación académica","No","No","Si","Muy de acuerdo"
"2024/05/23 8:15:50 a. m. GMT-5","3","ingeniería de sistemas","18","Maculino","Si","1 - 2 veces","Experimentos prácticos","No","No","No","Muy de acuerdo"
"2024/05/23 8:15:59 a. m. GMT-5","3","ingeniería de sistemas","19","Maculino","Si","3 - 5 veces","Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales","No","No","No","Muy de acuerdo"
"2024/05/23 8:16:03 a. m. GMT-5","3","ingeniería de sistemas","17","Femenino","Si","3 - 5 veces","Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales","Si","Si","No","Muy de acuerdo"
"2024/05/23 8:16:09 a. m. GMT-5","3","ingeniería de sistemas","18","Maculino","Si","1 - 2 veces","Experimentos prácticos","No","Si","No","Neutral"
"2024/05/23 8:16:24 a. m. GMT-5","3","ingeniería de sistemas","18","Maculino","Si","3 - 5 veces","Pruebas de software/simulaciones;Trabajo en proyectos grupales","Si","Si","Si","Muy de acuerdo"
"2024/05/23 8:16:38 a. m. GMT-5","3","ingeniería de sistemas","19","Maculino","Si","5 - 10 veces","Trabajo en proyectos grupales","Si","No","No","Neutral"
"2024/05/23 8:17:13 a. m. GMT-5","3","ingeniería de sistemas","19","Femenino","Si","1 - 2 veces","Pruebas de software/simulaciones;Trabajo en proyectos grupales","No","Si","Si","Muy en desacuerdo"
"2024/05/23 8:17:14 a. m. GMT-5","3","ingeniería de sistemas","26","Maculino","Si","3 - 5 veces","Pruebas de software/simulaciones;Trabajo en proyectos grupales","Si","No","No","Muy de acuerdo"
"2024/05/23 8:17:16 a. m. GMT-5","3","ingeniería de sistemas","19","Maculino","Si","1 - 2 veces","Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales;Investigación académica","No","No","No","Neutral"
"2024/05/23 8:17:16 a. m. GMT-5","3","ingeniería de sistemas","18","Maculino","Si","1 - 2 veces","Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales","Si","Si","No","Neutral"
"2024/05/23 8:17:44 a. m. GMT-5","3","ingeniería de sistemas","17","Maculino","Si","1 - 2 veces","Experimentos prácticos;Trabajo en proyectos grupales","No","Si","No","Muy de acuerdo"
"2024/05/23 8:17:59 a. m. GMT-5","3","ingeniería de sistemas","20","Maculino","Si","Más de 10 veces","Trabajo en proyectos grupales","No","No","No","Neutral"
"2024/05/23 8:18:37 a. m. GMT-5","3","ingeniería de sistemas","18","Maculino","Si","1 - 2 veces","Experimentos prácticos;Pruebas de software/simulaciones;Trabajo en proyectos grupales","Si","Si","No","Muy de acuerdo"
"2024/05/23 8:19:58 a. m. GMT-5","3","ingeniería de sistemas","18","Maculino","Si","3 - 5 veces","Trabajo en proyectos grupales","No","Si","Si","Neutral"
"2024/05/23 8:20:00 a. m. GMT-5","3","ingeniería de sistemas","25","Maculino","Si","3 - 5 veces","Pruebas de software/simulaciones;Trabajo en proyectos grupales","No","No","Si","Muy de acuerdo"
"2024/05/23 9:52:16 a. m. GMT-5","3","ingeniería de sistemas","26","Maculino","Si","3 - 5 veces","Pruebas de software/simulaciones;Trabajo en proyectos grupales","Si","No","No","Muy de acuerdo"
"2024/05/23 11:35:41 a. m. GMT-5","4","ingeniería de sistemas","29","Maculino","No","Nunca","Nunca se los nunca ","Si","Si","No","Muy de acuerdo"
"2024/05/23 1:39:24 p. m. GMT-5","4","ingeniería de sistemas","19","Maculino","Si","3 - 5 veces","Experimentos prácticos","No","No","No","Muy de acuerdo"
"2024/05/23 1:43:52 p. m. GMT-5","4","ingeniería de sistemas","19","Femenino","Si","3 - 5 veces","Experimentos prácticos;Pruebas de software/simulaciones","No","No","No","Neutral"
"2024/05/23 8:40:51 p. m. GMT-5","5","ingeniería ambiental","19","Femenino","Si","3 - 5 veces","Experimentos prácticos;Trabajo en proyectos grupales","Si","No","No","Muy de acuerdo"
